name,mp,pp,unweighted_claim_mistakes_per_claim,unweighted_lead_mistakes_per_lead,unweighted_mistakes_as_declarer,unweighted_mistakes_as_defender,unweighted_defender_missed_current_double,unweighted_defender_erroneously_doubled,unweighted_defender_missed_higher_contract,unweighted_declarer_missed_higher_contract,unweighted_declarer_missed_doubling_opponents_last_bid,unweighted_declarer_missed_opponents_last_redouble,unweighted_declarer_missed_redoubling_opponents_erroneous_double,unweighted_declarer_missed_opponents_last_bid,unweighted_declarer_erroneous_redouble,unweighted_passed_higher_contract
Frank Manoppo,7.0,0.0,0.03198653198653199,0.15294117647058825,0.026655202063628546,0.019166666666666665,0.1634756995581738,0.004418262150220913,0.0780559646539028,0.19293078055964655,0.045655375552282766,0.0,0.010309278350515464,0.011782032400589101,0.0,0.0014727540500736377
Matthias Gisli Thorvaldsson,36.0,2.0,0.045454545454545456,0.2028985507246377,0.028311425682507583,0.029077117572692796,0.0979020979020979,0.006993006993006993,0.07342657342657342,0.2062937062937063,0.06643356643356643,0.0,0.017482517482517484,0.02097902097902098,0.0,0.0034965034965034965
Carlos Lucena,196.0,2.5,0.05421686746987952,0.15151515151515152,0.04143126177024482,0.03002309468822171,0.15294117647058825,0.0058823529411764705,0.041176470588235294,0.25882352941176473,0.11176470588235295,0.011764705882352941,0.0058823529411764705,0.01764705882352941,0.0,0.0
Alain Labaere,19.0,0.0,0.0486322188449848,0.24468085106382978,0.025145067698259187,0.033480176211453744,0.1568627450980392,0.0056022408963585435,0.0784313725490196,0.22268907563025211,0.056022408963585436,0.0028011204481792717,0.02100840336134454,0.014005602240896359,0.0,0.0028011204481792717
Glyn Liggins,159.0,2.0,0.06806282722513089,0.1891891891891892,0.022119815668202765,0.026776519052523172,0.12896825396825398,0.005952380952380952,0.07341269841269842,0.20634920634920634,0.09126984126984126,0.001984126984126984,0.015873015873015872,0.00992063492063492,0.0,0.003968253968253968
Matthew Mullamphy,32.0,0.0,0.04938271604938271,0.19047619047619047,0.045454545454545456,0.007518796992481203,0.168,0.008,0.112,0.224,0.024,0.0,0.024,0.008,0.0,0.0
Brian Callaghan,17.0,2.0,0.028846153846153848,0.1774193548387097,0.03651685393258427,0.021810250817884406,0.18085106382978725,0.0,0.08865248226950355,0.20567375886524822,0.06028368794326241,0.0,0.014184397163120567,0.014184397163120567,0.0,0.0035460992907801418
Frans Jeunen,4.0,0.0,0.02926829268292683,0.23214285714285715,0.025555555555555557,0.039647577092511016,0.14847161572052403,0.004366812227074236,0.08296943231441048,0.23580786026200873,0.07423580786026202,0.0,0.017467248908296942,0.017467248908296942,0.0,0.0
David Burn,13.0,2.0,0.027989821882951654,0.1834862385321101,0.034074074074074076,0.027656477438136828,0.15502183406113537,0.002183406113537118,0.09170305676855896,0.2183406113537118,0.07860262008733625,0.0,0.017467248908296942,0.021834061135371178,0.0,0.002183406113537118
Patrick Allegrini,9.0,0.0,0.037037037037037035,0.15384615384615385,0.046153846153846156,0.02531645569620253,0.15714285714285714,0.0,0.04285714285714286,0.24285714285714285,0.11428571428571428,0.0,0.02857142857142857,0.014285714285714285,0.0,0.0
