name,mp,pp,claims,claim_mistakes,weighted_claim_mistakes,leads,lead_mistakes,weighted_lead_mistakes,cards_played_as_declarer,play_mistakes_as_declarer,weighted_play_mistakes_as_declarer,cards_played_as_defender,play_mistakes_as_defender,weighted_play_mistakes_as_defender,auctions_analyzed,defender_missed_current_double,weighted_defender_missed_current_double,defender_erroneously_doubled,weighted_defender_erroneously_doubled,defender_missed_higher_contract,weighted_defender_missed_higher_contract,declarer_missed_higher_contract,weighted_declarer_missed_higher_contract,declarer_missed_doubling_opponents_last_bid,weighted_declarer_missed_doubling_opponents_last_bid,declarer_missed_opponents_last_redouble,weighted_declarer_missed_opponents_last_redouble,declarer_missed_redoubling_opponents_erroneous_double,weighted_declarer_missed_redoubling_opponents_erroneous_double,declarer_missed_opponents_last_bid,weighted_declarer_missed_opponents_last_bid,declarer_erroneous_redouble,weighted_declarer_erroneous_redouble,passed_higher_contract,weighted_passed_higher_contract  
Jaap Van Der Neut,2.0,2.0,217,1,480,55,12,1210,749,27,2450,688,18,3230,223,23.0,3150.0,0,0,17.0,4110.0,47.0,15700.0,20.0,9460.0,0,0,6.0,4600.0,1.0,330.0,0,0,1,120
Julian Frydrich,2.0,3.0,102,2,60,26,8,1950,437,18,2790,437,8,320,105,19.0,2850.0,0,0,7.0,2540.0,22.0,6480.0,10.0,4710.0,0,0,2.0,1650.0,2.0,150.0,0,0,1,110
Marcel Nooijen,2.0,2.0,166,2,50,35,6,990,669,24,3340,520,17,2480,169,18.0,2600.0,0,0,14.0,3640.0,37.0,12640.0,15.0,6810.0,0,0,5.0,3550.0,1.0,330.0,0,0,1,120
Michael Hochzeit,2.0,3.0,73,1,140,20,6,540,236,5,150,305,10,1460,75,16.0,2600.0,0,0,6.0,2470.0,19.0,5710.0,8.0,4140.0,0,0,1.0,350.0,1.0,60.0,0,0,1,110
Peter Schaltz,7.0,5.5,536,23,4000,140,23,4510,2222,74,8520,1866,49,8770,601,89.0,16700.0,2.0,2010.0,62.0,13040.0,137.0,48960.0,53.0,30230.0,0,0,15.0,8950.0,5.0,2650.0,0,0,3,320
Dorthe Schaltz,7.0,1.5,531,19,3770,131,29,6640,2394,60,8680,1872,42,4490,595,86.0,16200.0,2.0,2010.0,62.0,13040.0,135.0,48580.0,55.0,30490.0,0,0,14.0,8170.0,5.0,2650.0,0,0,3,320
Waltraud Vogt,0.0,0.0,94,2,150,24,4,190,370,12,1240,370,3,1150,95,15.0,3250.0,0,0,18.0,4220.0,23.0,6870.0,4.0,2670.0,0,0,1.0,530.0,2.0,90.0,0,0,1,140
Beate Pony Nehmert,32.0,0.0,475,13,780,137,21,2740,2165,73,12560,2154,53,9840,546,87.0,13450.0,1.0,460.0,58.0,14380.0,121.0,38730.0,40.0,14950.0,0,0,16.0,11380.0,7.0,1850.0,0,0,4,420
Dani le Avon,6.0,0.0,46,0,0,14,1,450,123,1,30,202,2,300,47,7.0,900.0,0,0,13.0,3280.0,10.0,4260.0,2.0,1370.0,0,0,1.0,1380.0,0,0,0,0,0,0
Anne Claude De L'Epine,0.0,0.0,46,0,0,12,2,190,216,5,1080,204,7,680,47,7.0,900.0,0,0,13.0,3280.0,10.0,4260.0,2.0,1370.0,0,0,1.0,1380.0,0,0,0,0,0,0
Giovanni Watulingas,35.0,3.0,146,5,610,38,8,1340,570,23,4940,445,11,2120,150,19.0,3200.0,1.0,150.0,15.0,3850.0,37.0,16180.0,20.0,9810.0,0,0,0,0,2.0,190.0,0,0,1,110
Donald Gustaf Tuerah,2.0,0.0,126,2,130,33,6,530,579,17,3350,479,13,2280,132,16.0,3550.0,0,0,15.0,4560.0,38.0,11750.0,11.0,3300.0,0,0,0,0,2.0,450.0,0,0,1,90
Dadan Waradia,0.0,0.0,116,5,300,32,8,1200,398,15,2200,509,10,1920,118,22.0,3450.0,0,0,10.0,2770.0,15.0,4830.0,9.0,4780.0,0,0,1.0,870.0,1.0,60.0,0,0,1,110
Keng Hin Ong,12.0,0.0,153,4,250,52,15,2150,351,16,2690,653,22,5230,158,31.0,5000.0,0,0,13.0,2520.0,21.0,8120.0,12.0,6170.0,0,0,1.0,870.0,1.0,60.0,0,0,1,110
Damon Chan,8.0,0.0,101,4,210,21,1,30,328,12,1230,447,9,1580,119,21.0,3550.0,0,0,18.0,4140.0,26.0,8380.0,9.0,7940.0,0,0,3.0,1390.0,0,0,0,0,0,0
Peter S K Yeung,20.0,0.0,101,1,100,35,8,1210,435,11,2460,432,9,840,138,31.0,12600.0,0,0,18.0,4140.0,32.0,10310.0,9.0,7940.0,0,0,3.0,1390.0,0,0,0,0,0,0
Peter Poon,0.0,0.0,54,3,1310,13,2,80,151,4,190,175,6,690,76,25.0,10500.0,1.0,170.0,0,0,15.0,4960.0,6.0,2010.0,0,0,1.0,-30.0,3.0,1140.0,0,0,0,0
Roman Smolski,2.0,1.5,92,3,400,19,3,270,363,8,1360,249,10,1240,97,8.0,1050.0,1.0,170.0,6.0,1320.0,30.0,13990.0,9.0,3830.0,0,0,3.0,1280.0,2.0,700.0,0,0,0,0
Peter Chun,0.0,1.0,72,3,300,24,7,670,170,5,210,270,11,1340,94,30.0,11350.0,0,0,2.0,910.0,20.0,6720.0,7.0,2090.0,0,0,1.0,-30.0,3.0,1140.0,0,0,0,0
Tony Sowter,0.0,1.5,92,3,330,15,3,190,483,12,1530,251,7,600,97,8.0,1050.0,1.0,170.0,6.0,1320.0,30.0,13990.0,9.0,3830.0,0,0,3.0,1280.0,2.0,700.0,0,0,0,0
Hristo Hristov,31.0,0.0,47,4,370,10,3,430,256,13,2070,118,2,90,50,5.0,850.0,0,0,6.0,1230.0,12.0,3930.0,6.0,2970.0,0,0,0,0,0,0,0,0,0,0
Carlos Camacho,4.0,8.0,151,5,190,45,9,1190,392,14,2270,585,20,1580,155,25.0,3750.0,0,0,10.0,3000.0,35.0,13270.0,10.0,4560.0,0,0,4.0,2100.0,1.0,360.0,0,0,2,210
Svetomir Gotsov,17.0,0.0,35,6,520,11,2,130,67,4,670,93,5,210,37,5.0,850.0,0,0,4.0,750.0,8.0,3400.0,5.0,2520.0,0,0,0,0,0,0,0,0,0,0
