name,mp,pp,claims,claim_mistakes,weighted_claim_mistakes,leads,lead_mistakes,weighted_lead_mistakes,cards_played_as_declarer,play_mistakes_as_declarer,weighted_play_mistakes_as_declarer,cards_played_as_defender,play_mistakes_as_defender,weighted_play_mistakes_as_defender,auctions_analyzed,defender_missed_current_double,weighted_defender_missed_current_double,defender_erroneously_doubled,weighted_defender_erroneously_doubled,defender_missed_higher_contract,weighted_defender_missed_higher_contract,declarer_missed_higher_contract,weighted_declarer_missed_higher_contract,declarer_missed_doubling_opponents_last_bid,weighted_declarer_missed_doubling_opponents_last_bid,declarer_missed_opponents_last_redouble,weighted_declarer_missed_opponents_last_redouble,declarer_missed_redoubling_opponents_erroneous_double,weighted_declarer_missed_redoubling_opponents_erroneous_double,declarer_missed_opponents_last_bid,weighted_declarer_missed_opponents_last_bid,declarer_erroneous_redouble,weighted_declarer_erroneous_redouble,passed_higher_contract,weighted_passed_higher_contract  
Carmen Cafranga Martorell,0.0,0.0,23,0,0,7,1,210,90,3,1070,84,3,480,26,4.0,1000.0,0,0,2.0,2400.0,7.0,2630.0,1.0,600.0,0,0,0,0,0,0,0,0,0,0
Catherine Draper,0.0,0.0,267,2,330,67,10,1630,1288,36,7300,1072,24,2500,328,45.0,5500.0,3.0,680.0,27.0,10780.0,80.0,33800.0,23.0,12480.0,0,0,13.0,11470.0,2.0,460.0,0,0,4,900
Malgorzata Sawicka (Pasternak),0.0,0.0,78,1,20,26,6,1280,383,13,730,363,18,1810,93,16.0,2550.0,0,0,10.0,2560.0,24.0,9360.0,5.0,2450.0,0,0,2.0,780.0,0,0,0,0,0,0
Anna Sarniak,125.0,0.0,233,5,800,66,9,1990,1097,36,5520,1060,26,3640,274,47.0,7400.0,0,0,26.0,7610.0,60.0,19100.0,20.0,11000.0,0,0,4.0,3130.0,2.0,180.0,0,0,0,0
Eddy M F Manoppo,140.0,10.0,192,4,540,45,7,1680,720,13,2920,980,13,1630,217,37.0,4950.0,2.0,320.0,18.0,4960.0,44.0,15610.0,18.0,7280.0,0,0,1.0,140.0,1.0,480.0,0,0,0,0
John Bowman,4.0,0.0,13,0,0,3,1,30,64,2,1400,48,3,110,15,2.0,300.0,0,0,2.0,340.0,6.0,1400.0,3.0,1850.0,0,0,0,0,0,0,0,0,0,0
Henky Lasut,1258.0,10.0,203,1,450,85,14,1570,846,24,2350,1029,13,1530,237,41.0,6150.0,2.0,320.0,19.0,5080.0,49.0,17010.0,18.0,7280.0,0,0,1.0,140.0,1.0,480.0,0,0,0,0
Bill Bowman,4.0,0.0,13,1,150,3,1,700,96,1,100,49,2,80,15,2.0,300.0,0,0,2.0,340.0,6.0,1400.0,3.0,1850.0,0,0,0,0,0,0,0,0,0,0
Douglas Fraser,17.0,0.0,14,1,200,2,0,0,82,5,1800,55,5,1840,15,3.0,850.0,0,0,2.0,1280.0,2.0,710.0,2.0,1490.0,0,0,0,0,0,0,0,0,0,0
Edward Zaluski,0.0,0.0,14,1,200,5,2,800,37,2,90,52,2,210,15,3.0,850.0,0,0,2.0,1280.0,2.0,710.0,2.0,1490.0,0,0,0,0,0,0,0,0,0,0
Ferdinand Robert Waluyan,10.0,1.0,21,2,1050,4,1,150,76,2,290,67,3,780,22,3.0,1350.0,0,0,3.0,560.0,3.0,1180.0,4.0,1730.0,0,0,0,0,0,0,0,0,0,0
Nuno Paz,7.0,0.0,13,0,0,3,1,220,14,1,210,64,3,600,15,1.0,100.0,1.0,170.0,0,0,3.0,260.0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Victoria Lopes,4.0,0.0,6,0,0,1,0,0,62,2,500,16,1,100,10,1.0,500.0,0,0,0,0,3.0,1670.0,1.0,200.0,0,0,0,0,1.0,360.0,0,0,0,0
Vitor Diegues,4.0,0.0,64,3,160,15,4,480,409,8,840,162,3,880,68,5.0,1000.0,0,0,1.0,150.0,16.0,5340.0,8.0,4550.0,0,0,2.0,2320.0,3.0,1040.0,0,0,0,0
Stense Farholt,0.0,0.0,62,1,30,20,2,170,305,6,620,264,11,2850,72,15.0,2400.0,0,0,3.0,440.0,11.0,2100.0,6.0,1560.0,0,0,1.0,1020.0,0,0,0,0,0,0
Maria Rahelt,4.0,0.0,125,3,260,39,5,570,522,9,680,465,11,2650,146,25.0,4700.0,1.0,170.0,7.0,1930.0,31.0,9330.0,15.0,6130.0,0,0,2.0,1270.0,1.0,10.0,0,0,0,0
Ming Sun,118.0,0.0,375,8,1560,103,16,4230,1525,44,6410,1531,34,5980,411,70.0,11100.0,0,0,32.0,12270.0,96.0,31690.0,26.0,12450.0,0,0,9.0,7200.0,3.0,80.0,0,0,0,0
Tina Ege,0.0,0.0,38,0,0,4,1,20,155,2,60,144,5,220,41,3.0,400.0,0,0,3.0,220.0,5.0,1880.0,6.0,2100.0,0,0,1.0,1430.0,1.0,90.0,0,0,0,0
Bar Tarnovski,100.0,0.0,72,1,100,15,2,280,275,9,1300,282,9,2230,74,13.0,1500.0,1.0,230.0,5.0,640.0,12.0,2630.0,10.0,3680.0,0,0,2.0,2960.0,0,0,0,0,1,110
Richard Schwartz,308.0,0.0,75,3,150,21,7,1930,191,7,760,265,7,1130,78,16.0,2000.0,1.0,200.0,3.0,1210.0,15.0,3410.0,6.0,2180.0,0,0,1.0,520.0,0,0,0,0,0,0
Liz Fisher,0.0,0.0,57,3,130,17,3,180,235,5,1770,214,1,30,60,11.0,1500.0,0,0,3.0,1210.0,11.0,2750.0,5.0,2130.0,0,0,1.0,520.0,0,0,0,0,0,0
Simon Magnis,0.0,0.0,12,0,0,7,1,30,24,0,0,77,3,250,14,2.0,200.0,0,0,1.0,130.0,2.0,180.0,0,0,0,0,1.0,1380.0,0,0,0,0,0,0
Leif Trapp,4.0,0.0,31,0,0,4,1,50,117,4,420,78,2,220,33,4.0,550.0,0,0,3.0,1510.0,8.0,4780.0,4.0,620.0,0,0,0,0,0,0,0,0,0,0
Serge Bergheimer,7.0,0.0,12,0,0,3,1,30,44,2,410,78,1,100,14,2.0,200.0,0,0,1.0,130.0,2.0,180.0,0,0,0,0,1.0,1380.0,0,0,0,0,0,0
Olle Axne,4.0,0.0,31,0,0,11,2,750,149,3,1590,68,2,220,33,4.0,550.0,0,0,3.0,1510.0,8.0,4780.0,4.0,620.0,0,0,0,0,0,0,0,0,0,0
Jemmy Bojoh,81.0,0.0,339,6,230,87,21,5180,1589,53,7510,1327,29,4830,412,57.0,8550.0,1.0,490.0,40.0,10180.0,93.0,31640.0,24.0,10240.0,0,0,7.0,4630.0,7.0,630.0,0,0,1,110
Leslie Gontha,82.0,0.0,15,0,0,5,0,0,17,0,0,69,5,960,15,4.0,550.0,0,0,0,0,2.0,500.0,1.0,100.0,0,0,0,0,1.0,90.0,0,0,0,0
Nadia Bekkouche,0.0,0.0,223,8,640,66,12,2430,944,33,5440,840,22,1800,267,32.0,5950.0,1.0,170.0,18.0,4630.0,67.0,23390.0,23.0,11290.0,0,0,7.0,5200.0,6.0,220.0,0,0,1,90
Elisabeth Hugon,0.0,0.0,69,3,140,22,7,1480,407,13,1700,336,10,1180,88,17.0,3100.0,0,0,4.0,810.0,21.0,6510.0,9.0,3840.0,0,0,5.0,4820.0,1.0,110.0,0,0,1,80
Olivier Bessis,9.0,0.0,52,3,120,9,2,480,149,3,800,207,5,1110,53,8.0,1100.0,0,0,5.0,850.0,9.0,3040.0,5.0,2600.0,0,0,0,0,0,0,0,0,1,140
Fiona Brown,3.0,0.0,221,3,150,70,18,1800,993,33,6230,956,24,2520,253,33.0,3950.0,2.0,450.0,20.0,4020.0,51.0,20970.0,19.0,11370.0,0,0,6.0,4960.0,2.0,190.0,0,0,4,390
J r me Grenthe,8.0,0.0,52,4,140,19,6,2370,150,8,880,221,10,1670,53,10.0,1600.0,0,0,4.0,840.0,9.0,5040.0,3.0,990.0,1.0,2660.0,0,0,0,0,0,0,1,400
Susan Stockdale,0.0,0.0,324,4,110,96,16,4900,1313,47,4530,1481,32,5570,400,59.0,8250.0,3.0,490.0,33.0,9720.0,85.0,33750.0,26.0,13950.0,0,0,10.0,6010.0,3.0,280.0,0,0,4,370
Paul Seguineau,11.0,0.0,24,0,0,4,0,0,156,9,1440,85,1,30,25,2.0,550.0,1.0,150.0,2.0,300.0,5.0,3130.0,3.0,610.0,0,0,1.0,290.0,1.0,160.0,0,0,0,0
Adrien Vinay,11.0,0.0,14,0,0,4,0,0,53,4,260,36,0,0,15,1.0,50.0,0,0,2.0,300.0,4.0,1600.0,3.0,610.0,0,0,1.0,290.0,1.0,160.0,0,0,0,0
Julian Stefanov,449.0,5.0,65,2,350,22,3,800,331,5,460,260,5,680,73,10.0,1750.0,0,0,6.0,770.0,16.0,4640.0,9.0,5390.0,0,0,1.0,630.0,0,0,0,0,0,0
Sven Sester,32.0,0.0,86,4,630,18,2,80,288,9,920,260,5,540,89,13.0,3200.0,0,0,10.0,2260.0,23.0,9200.0,5.0,1030.0,1.0,250.0,2.0,1650.0,0,0,0,0,0,0
Leo Luks,32.0,0.0,120,1,20,30,8,640,501,17,1780,445,15,1750,127,22.0,3800.0,2.0,1000.0,10.0,5060.0,34.0,14010.0,8.0,4420.0,0,0,5.0,3620.0,1.0,360.0,0,0,0,0
Lauri Naber,32.0,0.0,120,3,80,33,6,850,429,12,1450,436,16,2960,127,22.0,3800.0,2.0,1000.0,10.0,5060.0,34.0,14010.0,8.0,4420.0,0,0,5.0,3620.0,1.0,360.0,0,0,0,0
Mihaly Kovacs,0.0,0.0,27,0,0,8,1,90,114,3,1120,141,3,820,32,4.0,250.0,0,0,2.0,750.0,6.0,810.0,2.0,1460.0,0,0,0,0,0,0,0,0,1,110
Geza Szappanos,0.0,0.0,80,1,50,25,6,1620,416,13,2430,331,7,910,99,9.0,850.0,0,0,5.0,840.0,25.0,9120.0,11.0,6720.0,0,0,1.0,610.0,0,0,0,0,0,0
Peter Magyar,0.0,0.0,66,1,50,20,5,720,428,19,4290,284,8,460,80,9.0,850.0,0,0,5.0,840.0,18.0,6740.0,9.0,5440.0,0,0,1.0,610.0,0,0,0,0,0,0
Munawar Sawiruddin,180.0,1.0,202,5,980,49,13,3290,964,26,4610,634,13,3840,228,30.0,4600.0,1.0,270.0,15.0,6620.0,68.0,27170.0,21.0,9500.0,0,0,2.0,910.0,5.0,470.0,0,0,0,0
Willem Boegem,0.0,0.0,33,1,30,18,5,2410,231,7,1450,289,5,910,66,13.0,2350.0,0,0,8.0,1780.0,17.0,5620.0,6.0,2210.0,0,0,1.0,-1750.0,0,0,0,0,0,0
D Hartono,0.0,0.0,145,3,140,34,6,390,745,25,4320,516,15,1730,171,22.0,3750.0,1.0,270.0,13.0,5030.0,46.0,18950.0,18.0,8260.0,0,0,1.0,550.0,5.0,470.0,0,0,0,0
Nico Doremans,0.0,0.0,78,0,0,22,3,500,366,8,300,381,11,2990,91,11.0,2050.0,1.0,170.0,9.0,1630.0,16.0,6400.0,2.0,460.0,0,0,5.0,4290.0,0,0,0,0,0,0
Dani Cohen,2.0,1.5,28,0,0,10,1,30,122,5,330,80,2,60,30,0,0,0,0,2.0,130.0,6.0,1470.0,2.0,1150.0,0,0,1.0,610.0,3.0,340.0,0,0,0,0
Yi Qlan Liu,66.0,1.0,169,2,60,48,11,3160,636,23,2900,705,21,5230,184,22.0,3350.0,0,0,16.0,6240.0,42.0,13770.0,7.0,1930.0,0,0,4.0,2380.0,5.0,1910.0,0,0,0,0
Mine Babac,0.0,0.0,35,1,30,8,0,0,232,10,2190,155,3,350,44,3.0,700.0,0,0,4.0,2210.0,14.0,3360.0,0,0,0,0,1.0,290.0,1.0,690.0,0,0,0,0
Elena Khonicheva,0.0,0.0,58,0,0,21,3,90,249,8,1180,329,12,5290,71,11.0,1200.0,0,0,6.0,2090.0,13.0,5000.0,3.0,950.0,0,0,2.0,1620.0,1.0,90.0,0,0,0,0
Dilek Yavas,0.0,0.0,133,3,90,43,8,1380,605,15,5240,543,15,1920,167,20.0,4150.0,0,0,11.0,5020.0,39.0,12640.0,8.0,7030.0,0,0,6.0,3390.0,4.0,1840.0,0,0,0,0
Alexandra Nikitina,0.0,0.0,40,0,0,14,2,60,129,5,1380,248,5,1110,48,10.0,1150.0,0,0,5.0,1690.0,6.0,1420.0,2.0,1180.0,0,0,1.0,1010.0,0,0,0,0,0,0
David Gold,1305.0,10.0,246,6,300,67,14,3440,1049,32,7130,795,16,4360,370,50.0,10000.0,2.0,300.0,24.0,5910.0,78.0,24900.0,29.0,14190.0,0,0,9.0,4780.0,4.0,2110.0,0,0,1,80
Tom Townsend,559.0,4.5,102,3,160,21,3,1380,474,18,1630,298,1,720,218,29.0,5650.0,1.0,150.0,15.0,3850.0,44.0,15150.0,20.0,10020.0,0,0,3.0,-630.0,2.0,520.0,0,0,1,80
Amr El Askalani,61.0,0.0,14,1,720,3,1,60,62,4,1550,41,2,60,14,1.0,500.0,1.0,240.0,0,0,3.0,2500.0,1.0,480.0,0,0,0,0,0,0,0,0,0,0
Judi Radin,0.0,0.0,29,0,0,10,3,120,105,1,240,106,2,480,30,6.0,1150.0,0,0,4.0,1380.0,5.0,2070.0,0,0,0,0,1.0,920.0,0,0,0,0,0,0
Anne Rosen,0.0,0.0,56,1,300,15,3,1450,223,6,2040,216,9,1070,60,8.0,1100.0,0,0,5.0,2000.0,18.0,7900.0,0,0,0,0,2.0,1380.0,1.0,100.0,0,0,0,0
K. Towsend,0.0,0.0,43,1,30,8,3,160,120,5,570,185,8,1510,46,7.0,1700.0,1.0,150.0,3.0,250.0,10.0,1470.0,4.0,2310.0,0,0,0,0,0,0,0,0,0,0
Nevena Senior,20.0,0.0,62,1,100,16,2,670,234,5,900,249,7,810,64,12.0,2650.0,0,0,3.0,760.0,14.0,4690.0,3.0,3280.0,0,0,3.0,990.0,2.0,710.0,0,0,0,0
Heather Dhondy,8.0,0.0,152,2,120,38,4,1780,627,21,2670,632,12,1210,154,22.0,3800.0,0,0,12.0,3130.0,21.0,7240.0,19.0,10240.0,0,0,4.0,2250.0,2.0,710.0,0,0,0,0
Sheau Fong Hu,8.0,0.0,29,1,30,8,1,470,101,8,780,178,5,950,35,10.0,2350.0,0,0,2.0,530.0,10.0,3210.0,1.0,320.0,0,0,0,0,0,0,0,0,0,0
Chih Kuo Shen,23.0,3.0,50,1,190,9,3,320,164,9,1430,155,1,30,53,7.0,800.0,0,0,3.0,1340.0,12.0,5520.0,4.0,1790.0,0,0,1.0,960.0,1.0,50.0,0,0,1,90
Fang Wen Gong,8.0,0.0,18,1,30,5,0,0,144,5,290,33,0,0,19,0,0,0,0,1.0,1100.0,6.0,2470.0,2.0,1250.0,0,0,0,0,0,0,0,0,0,0
Edward Jones,231.0,3.0,47,4,370,13,3,1770,158,9,2320,143,7,580,48,8.0,850.0,0,0,3.0,430.0,12.0,2930.0,3.0,3060.0,0,0,0,0,0,0,0,0,0,0
Thomas Paske,707.0,6.0,66,4,370,17,5,1610,227,6,860,282,9,1860,68,15.0,1950.0,1.0,170.0,4.0,750.0,14.0,4040.0,3.0,3060.0,0,0,0,0,0,0,0,0,0,0
Daniel Mcintosh,26.0,0.0,33,2,190,12,3,710,145,6,1910,103,1,470,34,3.0,600.0,0,0,4.0,600.0,12.0,5060.0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Hickman,8.0,0.0,58,3,400,13,3,830,87,2,60,242,10,1920,60,10.0,2050.0,0,0,6.0,1170.0,13.0,5810.0,2.0,2100.0,0,0,0,0,0,0,0,0,0,0
Benjamin Paske,8.0,0.0,16,4,1420,3,0,0,28,1,30,19,1,100,16,3.0,200.0,0,0,0,0,6.0,1500.0,1.0,400.0,0,0,0,0,0,0,0,0,0,0
Robert Myers,8.0,0.0,16,4,1750,1,1,30,91,4,420,22,2,270,16,3.0,200.0,0,0,0,0,6.0,1500.0,1.0,400.0,0,0,0,0,0,0,0,0,0,0
Aymeric Lebatteux,38.0,0.0,27,1,30,2,0,0,101,3,580,69,1,30,27,4.0,300.0,0,0,0,0,9.0,3990.0,2.0,950.0,0,0,0,0,0,0,0,0,0,0
Nicolas Lhuissier,510.0,0.0,131,4,910,42,11,980,675,19,2880,565,18,3020,161,25.0,3500.0,2.0,320.0,9.0,3300.0,40.0,16150.0,13.0,6800.0,0,0,4.0,4360.0,2.0,100.0,0,0,0,0
Kevin Dwyer,416.0,2.0,547,9,3490,166,30,5000,2348,78,13130,2095,60,9650,602,93.0,14500.0,4.0,690.0,37.0,11670.0,126.0,48050.0,55.0,28060.0,0,0,12.0,7120.0,3.0,710.0,0,0,1,90
Owen Lien,33.0,0.0,30,0,0,7,2,1460,243,12,2200,70,2,1980,33,3.0,200.0,0,0,2.0,1440.0,11.0,5080.0,3.0,710.0,0,0,0,0,1.0,990.0,0,0,0,0
Zachary Brescoll,21.0,0.0,73,3,430,17,5,1040,259,10,810,180,5,340,78,11.0,1950.0,0,0,5.0,2900.0,21.0,8880.0,6.0,2510.0,0,0,2.0,690.0,2.0,1650.0,0,0,0,0
Griffith Ware,39.0,0.5,14,1,30,3,1,50,58,0,0,67,4,780,15,2.0,250.0,0,0,0,0,2.0,260.0,2.0,290.0,0,0,0,0,1.0,20.0,0,0,0,0
Robert Krochmalik,18.0,0.0,69,5,200,27,2,530,296,5,590,338,9,1060,90,15.0,2550.0,0,0,6.0,1630.0,17.0,6910.0,6.0,1750.0,0,0,4.0,1990.0,2.0,920.0,0,0,0,0
Aneurin Griffiths,221.0,0.5,104,4,110,32,3,540,452,19,2670,477,16,1570,121,17.0,3000.0,1.0,170.0,12.0,2700.0,22.0,10720.0,8.0,4730.0,0,0,1.0,610.0,1.0,890.0,0,0,1,110
John Paul Gosney,218.0,1.0,230,4,970,72,18,3050,785,21,1560,1005,22,1640,255,42.0,5700.0,2.0,370.0,21.0,4200.0,45.0,15000.0,21.0,11790.0,0,0,9.0,7840.0,3.0,1290.0,0,0,0,0
Stefan Skorchev,71.0,1.0,49,1,30,10,3,1030,254,6,630,165,2,60,56,3.0,900.0,0,0,3.0,490.0,14.0,3810.0,1.0,140.0,0,0,1.0,250.0,0,0,0,0,0,0
Dean Spasov,8.0,0.0,17,1,50,3,0,0,86,2,60,64,1,50,19,2.0,150.0,0,0,1.0,150.0,7.0,2680.0,0,0,0,0,0,0,0,0,0,0,0,0
Chunhui Dong,38.0,0.0,19,0,0,7,1,30,67,5,2020,89,3,350,19,2.0,800.0,0,0,4.0,410.0,4.0,2120.0,1.0,350.0,0,0,0,0,1.0,690.0,0,0,0,0
Federic Volcker,791.0,5.5,23,0,0,7,2,80,71,1,100,95,2,50,27,2.0,100.0,0,0,3.0,640.0,7.0,3650.0,2.0,790.0,0,0,1.0,290.0,0,0,0,0,0,0
Mario Di Maio,0.0,0.0,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,1.0,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan Van Cleeff,17.0,0.0,519,9,1250,151,22,5350,2156,68,9810,2006,53,10980,619,67.0,11000.0,2.0,320.0,57.0,14130.0,131.0,48710.0,62.0,36340.0,0,0,9.0,5680.0,12.0,3260.0,0,0,0,0
Eugene Freed,408.0,0.0,2,0,0,0,0,0,12,1,30,0,0,0,4,0,0,0,0,0,0,4.0,680.0,0,0,0,0,0,0,0,0,0,0,0,0
Steve Sanborn,0.0,0.0,16,0,0,2,1,50,54,1,50,73,2,380,17,4.0,400.0,0,0,2.0,1310.0,3.0,940.0,1.0,1000.0,0,0,1.0,690.0,0,0,0,0,0,0
Kerri Sanborn,0.0,0.0,16,0,0,8,1,200,42,1,160,68,4,720,17,4.0,400.0,0,0,2.0,1310.0,3.0,940.0,1.0,1000.0,0,0,1.0,690.0,0,0,0,0,0,0
Harry Tudor,0.0,0.0,15,0,0,10,3,790,45,0,0,94,4,370,21,3.0,250.0,0,0,2.0,250.0,3.0,1180.0,3.0,960.0,0,0,0,0,1.0,50.0,0,0,0,0
Steve Zolotow,0.0,0.0,2,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.0,1700.0,0,0,0,0,0,0,0,0,0,0
Ted Horning,14.0,0.0,2,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,1.0,250.0,1.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0
Jerry Goldfein,0.0,0.0,6,1,30,0,0,0,38,0,0,0,0,0,6,0,0,0,0,0,0,2.0,660.0,2.0,1000.0,0,0,0,0,0,0,0,0,0,0
Anders Edstrand,0.0,0.0,13,0,0,3,0,0,84,6,660,54,2,50,13,1.0,100.0,1.0,170.0,0,0,4.0,3580.0,0,0,0,0,0,0,0,0,0,0,0,0
Veronel Lungu,3.0,0.0,7,1,30,4,1,60,16,0,0,84,0,0,14,2.0,300.0,0,0,3.0,580.0,1.0,10.0,0,0,0,0,1.0,970.0,0,0,0,0,0,0
Leandro Burgay,40.0,8.0,29,1,30,9,2,460,71,4,550,115,3,280,38,5.0,900.0,0,0,2.0,270.0,5.0,2900.0,6.0,1630.0,0,0,1.0,580.0,1.0,690.0,0,0,0,0
Charles Wigoder,0.0,0.0,3,0,0,1,1,30,46,0,0,16,0,0,8,2.0,700.0,0,0,1.0,330.0,1.0,180.0,1.0,200.0,0,0,0,0,1.0,150.0,0,0,0,0
Richard Reisig,0.0,0.0,0,0,0,1,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michel Abecassis,257.0,0.0,45,0,0,11,3,580,145,5,890,261,2,90,58,9.0,900.0,0,0,2.0,300.0,13.0,4410.0,2.0,1200.0,0,0,2.0,1290.0,0,0,0,0,0,0
Roger Lord,3.0,0.0,4,0,0,0,0,0,0,0,0,10,0,0,4,1.0,50.0,0,0,0,0,2.0,520.0,0,0,0,0,0,0,0,0,0,0,0,0
Enza Rossano,8.0,0.0,41,0,0,9,1,140,196,12,2190,185,5,1190,42,7.0,550.0,0,0,1.0,200.0,7.0,2200.0,4.0,2320.0,0,0,0,0,0,0,0,0,0,0
Chris Convery,0.0,1.0,13,1,400,4,2,60,73,5,1130,59,3,660,15,3.0,350.0,0,0,1.0,1710.0,1.0,180.0,1.0,250.0,0,0,0,0,1.0,590.0,0,0,0,0
Manuel Capucho,31.0,0.0,8,0,0,3,0,0,60,2,40,71,0,0,13,5.0,1450.0,0,0,1.0,330.0,3.0,790.0,0,0,0,0,0,0,0,0,0,0,0,0
Willie Whittaker,69.0,0.0,62,0,0,23,3,1640,156,4,420,204,8,1980,63,12.0,2000.0,0,0,5.0,440.0,8.0,1160.0,7.0,4680.0,0,0,2.0,1740.0,0,0,0,0,0,0
Aidan Ballantyne,0.0,0.0,2,0,0,0,0,0,0,0,0,6,1,720,2,1.0,100.0,0,0,0,0,0,0,1.0,600.0,0,0,0,0,0,0,0,0,0,0
Joe Jabon,13.0,0.0,2,0,0,1,0,0,8,0,0,5,0,0,2,1.0,100.0,0,0,0,0,0,0,1.0,600.0,0,0,0,0,0,0,0,0,0,0
Zia Mahmood,1889.0,35.5,78,0,0,19,3,780,403,19,3200,212,3,400,82,11.0,1800.0,0,0,4.0,1060.0,19.0,6610.0,8.0,2160.0,0,0,4.0,2020.0,0,0,0,0,0,0
Alain Levy,190.0,15.0,113,1,30,28,3,270,378,9,1260,420,12,2310,116,19.0,1650.0,0,0,7.0,870.0,23.0,6100.0,7.0,2310.0,0,0,3.0,1820.0,1.0,60.0,0,0,0,0
George Jacobs,63.0,6.75,9,0,0,3,1,20,36,3,120,30,0,0,9,0,0,0,0,0,0,3.0,1700.0,0,0,0,0,0,0,0,0,0,0,0,0
Ralph Katz,2307.0,32.5,39,0,0,11,3,730,102,6,2360,165,4,310,39,5.0,850.0,0,0,4.0,700.0,8.0,3110.0,2.0,890.0,0,0,0,0,0,0,0,0,0,0
Larry Cohen,88.0,10.0,85,4,1130,21,3,120,334,10,3010,311,5,1020,96,15.0,2200.0,0,0,6.0,1260.0,19.0,4850.0,7.0,4300.0,0,0,0,0,2.0,1090.0,0,0,0,0
David Berkowitz,997.0,15.5,31,0,0,9,2,780,37,0,0,103,3,230,32,4.0,350.0,0,0,3.0,910.0,7.0,1840.0,2.0,430.0,0,0,0,0,0,0,0,0,0,0
Brad Moss,1952.0,21.25,146,0,0,37,7,370,453,11,5110,468,8,1470,150,8.0,800.0,2.0,340.0,12.0,3550.0,32.0,12840.0,9.0,3590.0,0,0,1.0,540.0,2.0,190.0,0,0,0,0
Espen Erichsen,152.0,0.0,232,2,970,64,12,2920,940,35,5940,815,14,3230,332,40.0,6100.0,1.0,380.0,25.0,6440.0,68.0,21710.0,27.0,13520.0,1.0,1400.0,14.0,12450.0,2.0,550.0,0,0,3,320
Steve Robinson,166.0,5.5,3,0,0,2,1,30,0,0,0,19,1,280,5,1.0,300.0,0,0,1.0,100.0,0,0,1.0,680.0,0,0,0,0,0,0,0,0,0,0
Peter Boyd,166.0,5.0,17,0,0,6,1,720,85,2,60,92,4,600,20,3.0,700.0,0,0,3.0,850.0,3.0,590.0,1.0,680.0,0,0,0,0,0,0,0,0,0,0
Ron Smith,0.0,0.0,91,0,0,20,8,2300,341,16,4440,348,5,1270,94,13.0,1650.0,0,0,6.0,2750.0,17.0,5080.0,6.0,2390.0,1.0,470.0,2.0,1910.0,2.0,210.0,0,0,0,0
Billy Cohen,79.0,0.0,47,0,0,16,4,390,194,4,180,187,3,110,47,4.0,650.0,0,0,5.0,2380.0,7.0,1460.0,4.0,2280.0,0,0,1.0,250.0,1.0,10.0,0,0,0,0
Kit Woolsey,136.0,10.0,4,0,0,2,1,50,46,3,90,11,0,0,5,1.0,200.0,0,0,0,0,3.0,1220.0,0,0,0,0,0,0,0,0,0,0,0,0
Fred Stewart,56.0,2.0,4,0,0,0,0,0,0,0,0,13,0,0,5,1.0,200.0,0,0,0,0,3.0,1220.0,0,0,0,0,0,0,0,0,0,0,0,0
Billy Miller,54.0,0.0,14,1,240,2,0,0,129,5,610,48,0,0,15,2.0,300.0,0,0,1.0,570.0,5.0,1390.0,2.0,600.0,0,0,0,0,0,0,0,0,0,0
Roger Bates,65.0,12.0,23,0,0,7,2,50,80,3,160,67,2,230,23,1.0,50.0,0,0,1.0,250.0,5.0,1280.0,4.0,990.0,0,0,0,0,0,0,0,0,0,0
Michael Courtney,80.0,0.0,2,0,0,1,0,0,13,0,0,6,0,0,2,1.0,100.0,0,0,0,0,0,0,1.0,200.0,0,0,0,0,0,0,0,0,0,0
Bill Eisenberg,2.0,25.0,19,1,20,7,2,50,64,3,860,53,4,120,20,0,0,0,0,1.0,360.0,4.0,2200.0,2.0,800.0,0,0,0,0,0,0,0,0,0,0
Sheila Ekeblad,4.0,0.0,10,0,0,4,1,190,16,1,1470,62,3,250,11,3.0,450.0,0,0,3.0,750.0,2.0,340.0,1.0,100.0,0,0,0,0,0,0,0,0,0,0
Dan Morse,14.0,4.75,3,0,0,0,0,0,18,1,730,0,0,0,3,0,0,0,0,0,0,0,0,1.0,470.0,0,0,0,0,0,0,0,0,0,0
John Sutherlin,1153.0,1.5,3,0,0,0,0,0,38,1,90,3,0,0,3,0,0,0,0,0,0,1.0,750.0,0,0,0,0,0,0,0,0,0,0,0,0
Bill Pollack,25.0,2.5,3,0,0,3,0,0,0,0,0,22,1,30,3,0,0,1.0,170.0,1.0,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ralph Cohen,370.0,2.0,9,0,0,1,1,30,10,3,90,23,0,0,9,0,0,0,0,1.0,150.0,3.0,230.0,2.0,1330.0,0,0,1.0,250.0,0,0,0,0,0,0
Raicard Finberg,0.0,0.0,8,0,0,1,0,0,18,0,0,37,0,0,8,1.0,50.0,0,0,0,0,1.0,760.0,0,0,0,0,0,0,0,0,0,0,0,0
